unit,x,y,food,frozen food,office supplies,furniture,daily necessities
A1,1,1,0,0,0,0,0
A2,2,1,0,0,0,0,0
A3,3,1,0,0,0,0,0
A4,4,1,0,0,0,0,0
A5,5,1,0,0,0,0,0
A6,6,1,0,0,0,0,0
A7,7,1,0,0,0,0,0
A8,8,1,0,0,0,0,0
A9,9,1,0,0,0,0,0
A10,10,1,0,0,0,0,0
A11,11,1,0,0,0,0,0
A12,12,1,0,0,0,0,0
A13,13,1,0,0,0,0,0
A14,14,1,0,0,0,0,0
A15,15,1,0,0,0,0,0
A16,16,1,0,0,0,0,0
A17,17,1,0,0,0,0,0
A18,18,1,0,0,0,0,0
A19,19,1,0,0,0,0,0
A20,20,1,0,0,0,0,0
A21,21,1,0,0,0,0,0
A22,1,2,0,0,0,0,0
A23,2,2,0,0,0,0,0
A24,3,2,0,0,0,0,0
A25,4,2,0,0,0,0,0
A26,5,2,0,0,0,0,0
A27,6,2,95040,78120,92520,41.04,5.4
A28,7,2,197340,121264,208780,43.472,18.304
A29,8,2,0,0,0,0,0
A30,9,2,0,0,0,0,0
A31,10,2,146955,92240,165620,34.09,15.845
A32,11,2,0,0,0,0,0
A33,12,2,0,0,0,0,0
A34,13,2,0,0,0,0,0
A35,14,2,0,0,0,0,0
A36,15,2,0,0,0,0,0
A37,16,2,0,0,0,0,0
A38,17,2,0,0,0,0,0
A39,18,2,0,0,0,0,0
A40,19,2,0,0,0,0,0
A41,20,2,0,0,0,0,0
A42,21,2,0,0,0,0,0
A43,1,3,0,0,0,0,0
A44,2,3,0,0,0,0,0
A45,3,3,0,0,0,0,0
A46,4,3,0,0,0,0,0
A47,5,3,36960,30380,35980,15.96,2.1
A48,6,3,206880,149660,204460,74.64,11.7
A49,7,3,566145,347892,598965,124.716,52.512
A50,8,3,1155060,709776,1222020,254.448,107.136
A51,9,3,95220,58680,106920,21,10.26
A52,10,3,356745,255690,374550,115.49,29.565
A53,11,3,139260,98720,141980,44.08,10.64
A54,12,3,0,0,0,0,0
A55,13,3,27720,22785,26985,11.97,1.575
A56,14,3,0,0,0,0,0
A57,15,3,0,0,0,0,0
A58,16,3,0,0,0,0,0
A59,17,3,0,0,0,0,0
A60,18,3,0,0,0,0,0
A61,19,3,0,0,0,0,0
A62,20,3,0,0,0,0,0
A63,21,3,0,0,0,0,0
A64,1,4,0,0,0,0,0
A65,2,4,0,0,0,0,0
A66,3,4,0,0,0,0,0
A67,4,4,0,0,0,0,0
A68,5,4,308490,130054,323330,39.017,20.244
A69,6,4,314121,194408,333911,68.176,29.522
A70,7,4,2382903,1486144,2553213,508.952,228.786
A71,8,4,975255,582148,1030915,206.504,88.048
A72,9,4,475410,292206,505545,104.738,44.691
A73,10,4,107712,88536,104856,46.512,6.12
A74,11,4,483783,328906,507306,136.194,40.635
A75,12,4,317076,202143,361643,76.606,34.945
A76,13,4,26712,17948,27636,7.448,2.212
A77,14,4,919590,584024,950880,187.502,80.514
A78,15,4,0,0,0,0,0
A79,16,4,0,0,0,0,0
A80,17,4,0,0,0,0,0
A81,18,4,59400,20790,62040,5.445,3.3
A82,19,4,0,0,0,0,0
A83,20,4,0,0,0,0,0
A84,21,4,0,0,0,0,0
A85,1,5,0,0,0,0,0
A86,2,5,0,0,0,0,0
A87,3,5,0,0,0,0,0
A88,4,5,0,0,0,0,0
A89,5,5,91425,56180,96725,20.14,8.48
A90,6,5,1028772,634476,1101247,225.179,98.419
A91,7,5,474012,294682,507627,101.96,45.435
A92,8,5,0,0,0,0,0
A93,9,5,1665315,1023744,1777305,366.912,158.034
A94,10,5,2869020,1765680,3134220,632.4,288.96
A95,11,5,1897542,1194696,2080472,397.822,193.274
A96,12,5,2227983,1395230,2330797,479.736,200.478
A97,13,5,222525,136740,235425,49.02,20.64
A98,14,5,1459005,896772,1551825,321.436,137.232
A99,15,5,183540,112784,194180,40.432,17.024
A100,16,5,243825,153636,274785,51.208,26.556
A101,17,5,1600785,998900,1760885,342.62,164.24
A102,18,5,425934,286097,448055,116.114,37.127
A103,19,5,143088,117614,139294,61.788,8.13
A104,20,5,610047,376677,644676,136.23,56.271
A105,21,5,0,0,0,0,0
A106,1,6,0,0,0,0,0
A107,2,6,0,0,0,0,0
A108,3,6,0,0,0,0,0
A109,4,6,0,0,0,0,0
A110,5,6,121395,76500,136845,25.49,13.23
A111,6,6,485730,300400,543530,106.26,51.92
A112,7,6,626850,385988,671830,137.694,60.148
A113,8,6,83364,52338,98274,17.761,10.074
A114,9,6,377952,255908,473302,66.928,52.366
A115,10,6,935118,578828,996128,202.94,88.37
A116,11,6,2735415,1684434,2901030,600.042,255.399
A117,12,6,1489635,918370,1583660,326.04,139.985
A118,13,6,1832373,1133628,1948833,398.04,172.44
A119,14,6,3095460,1910816,3286070,675.518,289.826
A120,15,6,2777412,1708536,2944362,610.574,259.014
A121,16,6,1991133,1229580,2139913,434.816,192.472
A122,17,6,1746066,1080832,1882746,379.468,170.256
A123,18,6,1679502,1033184,1781912,369.226,156.962
A124,19,6,1718055,1064402,1820390,384.681,159.447
A125,20,6,80736,60622,95022,27.488,8.93
A126,21,6,0,0,0,0,0
A127,1,7,0,0,0,0,0
A128,2,7,14784,12152,14392,6.384,0.84
A129,3,7,63096,51863,61423,27.246,3.585
A130,4,7,0,0,0,0,0
A131,5,7,0,0,0,0,0
A132,6,7,112470,69112,118990,24.776,10.432
A133,7,7,1101120,710056,1285480,219.908,130.456
A134,8,7,21267,15154,25282,3.154,2.647
A135,9,7,115857,81750,141222,17.886,15.213
A136,10,7,139392,94398,154842,24.183,14.766
A137,11,7,310752,197808,359052,63.948,35.916
A138,12,7,674631,424132,759986,142.413,73.391
A139,13,7,1609164,990824,1702244,352.94,149.24
A140,14,7,66912,53917,66517,24.99,4.355
A141,15,7,135546,110276,127756,46.17,7.41
A142,16,7,376125,268683,383871,120.324,28.712
A143,17,7,1295217,807013,1364233,289.148,118.25
A144,18,7,1963134,1208336,2076734,430.916,182.072
A145,19,7,431784,279926,451912,109.976,37.764
A146,20,7,1196316,743887,1302527,258.418,119.565
A147,21,7,0,0,0,0,0
A148,1,8,0,0,0,0,0
A149,2,8,148200,107500,150100,49.4,10.9
A150,3,8,1213290,773160,1251540,245.31,105.57
A151,4,8,1396812,888380,1511072,285.478,137.708
A152,5,8,794190,501368,858720,165.174,78.138
A153,6,8,337746,230324,332756,56.32,26.018
A154,7,8,293886,217738,280811,35.502,20.897
A155,8,8,124200,77160,162300,27.48,18.66
A156,9,8,165600,101760,175200,36.48,15.36
A157,10,8,285660,176936,353720,63.128,38.396
A158,11,8,189567,122092,203392,37.531,18.325
A159,12,8,1587000,975200,1679000,349.6,147.2
A160,13,8,1296882,810888,1355832,274.578,116.766
A161,14,8,577848,388404,648924,145.178,60.54
A162,15,8,621141,397412,672871,125.158,61.486
A163,16,8,416259,270652,445272,106.594,38.585
A164,17,8,278148,191678,294630,74.292,24.678
A165,18,8,1076400,661440,1138800,237.12,99.84
A166,19,8,1111500,686480,1180400,242.3,104.18
A167,20,8,181296,112816,194416,38.92,17.44
A168,21,8,0,0,0,0,0
A169,1,9,0,0,0,0,0
A170,2,9,0,0,0,0,0
A171,3,9,89337,56920,97052,18.191,8.903
A172,4,9,1571520,977576,1689180,337.728,152.076
A173,5,9,1222980,761512,1316680,262.304,118.852
A174,6,9,107646,71420,127096,19.996,13.114
A175,7,9,504114,311992,614914,111.368,65.608
A176,8,9,593703,387090,633798,113.85,56.727
A177,9,9,785967,523142,875682,143.42,83.715
A178,10,9,249723,154332,265728,54.375,23.529
A179,11,9,130320,83832,152640,26.196,15.552
A180,12,9,1788900,1110688,1943080,386.564,177.748
A181,13,9,1135872,718264,1236952,259.156,112.552
A182,14,9,506235,337196,559640,127.507,51.041
A183,15,9,1359270,862920,1469670,279,133.8
A184,16,9,309054,197944,343134,62.32,32.52
A185,17,9,2554710,1584660,2754660,552.7,249.15
A186,18,9,2635326,1624424,2796696,576.886,246.498
A187,19,9,1719330,1075720,1847680,364.73,166.39
A188,20,9,1202778,742984,1279888,262.162,113.326
A189,21,9,0,0,0,0,0
A190,1,10,0,0,0,0,0
A191,2,10,0,0,0,0,0
A192,3,10,0,0,0,0,0
A193,4,10,2506710,1553408,2672130,542.688,237.348
A194,5,10,2721525,1682148,2898515,592.49,257.018
A195,6,10,387453,240112,414573,83.914,37.044
A196,7,10,270720,190456,276600,84.208,20.936
A197,8,10,1114995,696385,1175060,257.07,101.475
A198,9,10,369126,236056,413796,74.81,39.75
A199,10,10,254136,165132,264236,62.768,21.916
A200,11,10,1102407,688492,1187447,234.88,107.3
A201,12,10,299394,191560,316434,60.128,27.816
A202,13,10,654954,446326,702234,170.896,60.412
A203,14,10,486243,318542,522927,121.502,45.82
A204,15,10,283476,178012,302816,58.398,26.916
A205,16,10,252348,158462,265594,59.052,22.818
A206,17,10,237336,195083,231043,102.486,13.485
A207,18,10,2096760,1310384,2253160,445.928,202.864
A208,19,10,1941666,1244886,2059750,435.214,179.696
A209,20,10,0,0,0,0,0
A210,21,10,0,0,0,0,0
A211,1,11,0,0,0,0,0
A212,2,11,0,0,0,0,0
A213,3,11,0,0,0,0,0
A214,4,11,0,0,0,0,0
A215,5,11,0,0,0,0,0
A216,6,11,0,0,0,0,0
A217,7,11,0,0,0,0,0
A218,8,11,200631,124327,211838,45.258,18.429
A219,9,11,62445,38372,66065,13.756,5.792
A220,10,11,100320,82460,97660,43.32,5.7
A221,11,11,327390,213611,346321,88.458,27.885
A222,12,11,114420,90035,123435,45.07,9.625
A223,13,11,316602,120731,330101,35.102,18.245
A224,14,11,637995,395943,658384,160.604,47.339
A225,15,11,360852,234102,391215,66.31,35.487
A226,16,11,0,0,0,0,0
A227,17,11,410364,150207,426847,40.334,22.765
A228,18,11,414516,256856,467936,90.4,45.26
A229,19,11,0,0,0,0,0
A230,20,11,0,0,0,0,0
A231,21,11,0,0,0,0,0
A232,1,12,0,0,0,0,0
A233,2,12,0,0,0,0,0
A234,3,12,0,0,0,0,0
A235,4,12,0,0,0,0,0
A236,5,12,0,0,0,0,0
A237,6,12,0,0,0,0,0
A238,7,12,0,0,0,0,0
A239,8,12,1042380,662380,1146480,213.95,107.1
A240,9,12,18816,12603,19483,5.206,1.565
A241,10,12,303648,247352,287352,106.832,16.68
A242,11,12,496062,202998,510398,57.938,27.42
A243,12,12,1092522,621199,1171903,206.61,96.151
A244,13,12,1645794,666504,1679824,148.65,89.99
A245,14,12,1382976,601416,1393696,123.9,74.96
A246,15,12,0,0,0,0,0
A247,16,12,0,0,0,0,0
A248,17,12,0,0,0,0,0
A249,18,12,0,0,0,0,0
A250,19,12,0,0,0,0,0
A251,20,12,0,0,0,0,0
A252,21,12,0,0,0,0,0
A253,1,13,0,0,0,0,0
A254,2,13,0,0,0,0,0
A255,3,13,0,0,0,0,0
A256,4,13,0,0,0,0,0
A257,5,13,0,0,0,0,0
A258,6,13,0,0,0,0,0
A259,7,13,0,0,0,0,0
A260,8,13,0,0,0,0,0
A261,9,13,0,0,0,0,0
A262,10,13,0,0,0,0,0
A263,11,13,0,0,0,0,0
A264,12,13,0,0,0,0,0
A265,13,13,227124,84384,235104,20.7,12.54
A266,14,13,0,0,0,0,0
A267,15,13,0,0,0,0,0
A268,16,13,0,0,0,0,0
A269,17,13,0,0,0,0,0
A270,18,13,0,0,0,0,0
A271,19,13,0,0,0,0,0
A272,20,13,0,0,0,0,0
A273,21,13,0,0,0,0,0
