name,color
MediumOrchid,#BA55D3
DeepPink1,#FF1493
DarkOrange2,#EE7600
Yellow2,#EEEE00
Blue3,#0000CD
Purple4,#551A8B
SpringGreen1,#00FF7F
SlateBlue2,#7A67EE
Maroon3,#CD2990
DarkGoldenrod3,#CD950C
Sienna1,#FF8247
BlueViolet,#8A2BE2
Violet,#EE82EE
Khaki1,#FFF68F
Brown3,#CD3333
RoyalBlue3,#3A5FCD
Tomato4,#8B3626
gray91,#E8E8E8
Khaki2,#EEE685
DarkOliveGreen4,#6E8B3D
Aquamarine2,#76EEC6
Goldenrod2,#EEB422
Burlywood3,#CDAA7D
Yellow4,#8B8B00
DeepPink2,#EE1289
Green1,#00FF00
DarkOrchid,#9932CC
Salmon3,#CD7054
Magenta2,#EE00EE
PaleTurquoise1,#BBFFFF
MediumPurple,#9370DB
MediumOrchid4,#7A378B
PaleVioletRed2,#EE799F
DeepSkyBlue1,#00BFFF
SlateGray4,#6C7B8B
gray81,#CFCFCF
DarkSlateGray4,#528B8B
DodgerBlue3,#1874CD
Brown4,#8B2323
OrangeRed1,#FF4500
Gold1,#FFD700
DarkOliveGreen2,#BCEE68
Tomato2,#EE5C42
Purple3,#7D26CD
Burlywood1,#FFD39B
Magenta3,#CD00CD
DeepPink4,#8B0A50
Red1,#FF0000
SeaGreen4,#2E8B57
OliveDrab2,#B3EE3A
Burlywood2,#EEC591
Green3,#00CD00
RoyalBlue4,#27408B
Plum,#DDA0DD
Sienna2,#EE7942
Coral1,#FF7256
RosyBrown3,#CD9B9B
SpringGreen4,#008B45
SpringGreen3,#00CD66
Maroon4,#8B1C62
PaleGreen3,#7CCD7C
Yellow1,#FFFF00
Orchid,#DA70D6
Sienna3,#CD6839
PaleVioletRed3,#CD6889
DodgerBlue2,#1C86EE
DarkOrange1,#FF7F00
SlateGray2,#B9D3EE
MediumPurple3,#8968CD
Coral4,#8B3E2F
DarkOrchid4,#68228B
Coral3,#CD5B45
DarkGoldenrod2,#EEAD0E
Chocolate4,#8B4513
Cyan1,#00FFFF
SeaGreen1,#54FF9F
Tomato1,#FF6347
CadetBlue3,#7AC5CD
PaleTurquoise2,#AEEEEE
DodgerBlue1,#1E90FF
DeepSkyBlue4,#00688B
VioletRed1,#FF3E96
Aquamarine3,#66CDAA
OrangeRed3,#CD3700
CadetBlue2,#8EE5EE
Green2,#00EE00
Orchid4,#8B4789
DarkSlateGray3,#79CDCD
Cyan3,#00CDCD
grey61,#9C9C9C
Firebrick2,#EE2C2C
Aquamarine4,#458B74
DarkCyan,#008B8B
Cyan4,#008B8B
SteelBlue3,#4F94CD
Salmon2,#EE8262
Blue2,#0000EE
SeaGreen3,#43CD80
DeepSkyBlue3,#009ACD
Purple1,#9B30FF
Chocolate1,#FF7F24
DarkBlue,#00008B
Magenta4,#8B008B
Turquoise1,#00F5FF
